subject,doctor_i,doctor_j,try_i,try_j,same_doctor,dice,iou
S08,A,D,1,3,False,2.4752476e-09,2.4752475186256248e-09
S08,A,A,2,3,True,1.33333335e-08,1.3333333155555557e-08
S08,A,B,2,1,False,0.15690376,0.08513053452312085
S08,A,B,2,2,False,0.19633508,0.10885341203359446
S08,A,B,2,3,False,0.15212981,0.08232711406989339
S08,A,C,2,1,False,2.754821e-09,2.75482092905008e-09
S08,A,C,2,2,False,1.6420362e-09,1.6420361220984628e-09
S08,A,C,2,3,False,1.7064846e-09,1.7064846387261353e-09
S08,A,D,2,1,False,7.575758e-09,7.575757518365473e-09
S08,A,D,2,2,False,1.858736e-09,1.858736056024654e-09
S08,A,D,2,3,False,2.5510205e-09,2.55102040165556e-09
S08,A,B,3,1,False,1.1350738e-09,1.1350737785072942e-09
S08,A,B,3,2,False,1.4513788e-09,1.4513788077628754e-09
S08,A,B,3,3,False,1.0976948e-09,1.0976948396293141e-09
S08,A,C,3,1,False,3.4722223e-09,3.472222210165895e-09
S08,A,C,3,2,False,1.8726591e-09,1.87265917252311e-09
S08,A,C,3,3,False,1.956947e-09,1.9569471585969723e-09
S08,A,D,3,1,False,1.754386e-08,1.75438593413358e-08
S08,A,D,3,2,False,2.1598272e-09,2.1598272091580403e-09
S08,A,D,3,3,False,3.1545742e-09,3.1545741225407754e-09
S08,B,B,1,2,True,0.86624205,0.7640449440853427
S08,B,B,1,3,True,0.69866073,0.5368782165206876
S08,B,C,1,1,False,0.1334474,0.0714940430142126
S08,B,C,1,2,False,0.204947,0.11417322904395807
S08,B,C,1,3,False,0.1724138,0.09433962335350657
S08,B,D,1,1,False,1.0660981e-09,1.066098079886889e-09
S08,B,D,1,2,False,0.21875,0.12280701827668586
S08,B,D,1,3,False,0.025041739,0.012679628898833785
S08,B,B,2,3,True,0.705,0.5444015448413112
S08,B,C,2,1,False,0.15762538,0.08555555657160493
S08,B,C,2,2,False,0.14063777,0.07563764373294841
S08,B,C,2,3,False,0.12166667,0.06477373641102596
S08,B,D,2,1,False,1.3404826e-09,1.340482571929648e-09
S08,B,D,2,2,False,0.1579861,0.08576814412274443
S08,B,D,2,3,False,0.03777336,0.01925025428647391
S08,B,C,3,1,False,0.41701418,0.2634351957181926
S08,B,C,3,2,False,0.24913494,0.14229249079660672
S08,B,C,3,3,False,0.29957807,0.176178660731035
S08,B,D,3,1,False,1.0330579e-09,1.0330578501724608e-09
S08,B,D,3,2,False,0.3173217,0.18858131558081198
S08,B,D,3,3,False,0.10586319,0.05588994062262257
S08,C,C,1,2,True,0.23600973,0.133793104643044
S08,C,C,1,3,True,0.37797245,0.23302469254162855
S08,C,D,1,1,False,2.8985507e-09,2.8985507162360846e-09
S08,C,D,1,2,False,0.050599203,0.02595628548366628
S08,C,D,1,3,False,0.21157025,0.11829944710111008
S08,C,C,2,3,True,0.82488036,0.701954397879553
S08,C,D,2,1,False,1.6920474e-09,1.6920473744635407e-09
S08,C,D,2,2,False,0.020060182,0.010131713262277898
S08,C,D,2,3,False,0.24206816,0.13770053591216505
S08,C,D,3,1,False,0.021126762,0.010676158343992602
S08,C,D,3,2,False,0.039014373,0.01989528898440284
S08,C,D,3,3,False,0.2826087,0.16455696320034183
S08,D,D,1,2,True,1.9230768e-09,1.9230769193786983e-09
S08,D,D,1,3,True,0.032085564,0.016304350499172962
S08,D,D,2,3,True,1.2820512e-09,1.2820512804076266e-09
S09,A,A,1,2,True,0.42051283,0.266233770998482
S09,A,A,1,3,True,0.49673203,0.33043478551984873
S09,A,B,1,1,False,0.13084112,0.0700000031
S09,A,B,1,2,False,2.8818443e-09,2.881844372098431e-09
S09,A,B,1,3,False,2.7173912e-09,2.7173912969636105e-09
S09,A,C,1,1,False,1.5600624e-09,1.5600624000623051e-09
