iou,dice,sensitivity,specificity,tp,fp,fn,tn,gt_pixels,pred_pixels,epoch,split,case_id,class,body_thr,cold_thr,min_cold_cc,loss,val_best_cold_iou_after_sweep,val_best_cold_sens_after_sweep,val_best_cold_spec_after_sweep,val_body_iou_at_selected_thr,val_pred_gt_ratio_at_selected_thr,val_selection_score,fold_id,test_subject,val_subject,pred_gt_ratio
0.0,0.0,0.0,0.9985840753117587,0,111,3526,78283,3526,111,49,test,S11-A-2,cold,0.5,0.8,0,2.6510214805603027,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.03148043108329132
0.0151707545278251,0.0298880842659447,0.1774824081299649,0.8303096439775263,227,13684,1052,66957,1279,13911,24,test,S05-D-3,cold,0.5,0.8,20,3.147451639175415,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,10.87646598896891
0.0175269930483526,0.0344501780652413,0.4172535211194145,0.8407660536924918,237,12954,331,68398,568,13191,24,test,S05-D-2,cold,0.5,0.8,20,3.009496688842773,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,23.22359154888691
0.0214810627472996,0.0420586607636676,0.9999999999671052,0.8303273867868028,304,13848,0,67768,304,14152,24,test,S05-D-1,cold,0.5,0.8,20,3.2498857975006104,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,46.55263157741603
0.0224983755685327,0.044006672491823,0.4999999999909747,0.8554924661405433,277,11758,277,69608,554,12035,24,test,S05-C-2,cold,0.5,0.8,20,2.830283164978028,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,21.723826714409316
0.0227483751159575,0.044484793463257,0.8596491226562019,0.9743840318579854,49,2097,8,79766,57,2146,25,test,S08-D-1,cold,0.4,0.75,20,1.4341387748718262,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,37.649122800412435
0.0255124612888766,0.0497555363819026,0.5690789473590612,0.8406877213694361,346,12954,262,68358,608,13300,24,test,S05-C-3,cold,0.5,0.8,20,3.042563438415528,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,21.874999999640213
0.0268210050817989,0.0522408578497326,0.1507936507912572,0.9641776356254196,95,2912,535,78378,630,3007,21,test,S07-B-2,cold,0.35,0.4,50,1.3967843055725098,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,4.77301587294011
0.028146230993115,0.0547514159847238,0.9999999998850576,0.963291092835291,87,3004,0,78829,87,3091,25,test,S08-A-1,cold,0.4,0.75,20,1.394312858581543,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,35.52873562810015
0.0285714285713197,0.0555555555553497,0.9999999998666668,0.9688435457265602,75,2550,0,79295,75,2625,25,test,S08-A-2,cold,0.4,0.75,20,1.3897496461868286,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,34.99999999533333
0.0287026406427743,0.05580357142826,0.1497005987979131,0.98274213713125,50,1408,284,80178,334,1458,19,test,S10-C-2,cold,0.75,0.5,0,1.3759832382202148,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,4.365269460947148
0.029181494661714,0.0567081604422081,0.9999999997560975,0.9833412718766738,41,1364,0,80515,41,1405,19,test,S10-A-2,cold,0.75,0.5,0,1.445918321609497,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,34.268292674568706
0.0327832292595165,0.0634852083781829,0.0338631651692378,0.9981567176683126,147,143,4194,77436,4341,290,49,test,S11-A-3,cold,0.5,0.8,0,2.510603666305542,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.06680488366720386
