subject,image_i,image_j,doctor_i,doctor_j,try_i,try_j,same_doctor,same_try,dice,iou,pixels_i,pixels_j,doctor_pair,try_pair
S07,S07-A-2.bmp,S07-C-2.bmp,A,C,2,2,False,True,0.39557165,0.2465498940428477,3036,1661,A-C,2-2
S07,S07-A-2.bmp,S07-C-3.bmp,A,C,2,3,False,False,0.5369237,0.3669827107175174,3036,1866,A-C,2-3
S07,S07-A-2.bmp,S07-D-1.bmp,A,D,2,1,False,False,0.08416459,0.043931012351470546,3036,172,A-D,1-2
S07,S07-A-2.bmp,S07-D-2.bmp,A,D,2,2,False,True,3.154574e-10,3.1545741314969797e-10,3036,134,A-D,2-2
S07,S07-A-2.bmp,S07-D-3.bmp,A,D,2,3,False,False,0.061283115,0.03161014190595649,3036,97,A-D,2-3
S07,S07-A-3.bmp,S07-B-1.bmp,A,B,3,1,False,False,0.031029228,0.015759110874383128,6765,454,A-B,1-3
S07,S07-A-3.bmp,S07-B-2.bmp,A,B,3,2,False,False,0.080324546,0.04184277274699313,6765,630,A-B,2-3
S07,S07-A-3.bmp,S07-B-3.bmp,A,B,3,3,False,True,0.13642961,0.0732087228726694,6765,814,A-B,3-3
S07,S07-A-3.bmp,S07-C-1.bmp,A,C,3,1,False,False,0.16339536,0.08896599596266953,6765,1081,A-C,1-3
S07,S07-A-3.bmp,S07-C-2.bmp,A,C,3,2,False,False,0.19439828,0.10766399380732693,6765,1661,A-C,2-3
S07,S07-A-3.bmp,S07-C-3.bmp,A,C,3,3,False,True,0.2565172,0.1471291867162242,6765,1866,A-C,3-3
S07,S07-A-3.bmp,S07-D-1.bmp,A,D,3,1,False,False,0.040939886,0.02089771905505552,6765,172,A-D,1-3
S07,S07-A-3.bmp,S07-D-2.bmp,A,D,3,2,False,False,1.4494854e-10,1.4494854324613007e-10,6765,134,A-D,2-3
S07,S07-A-3.bmp,S07-D-3.bmp,A,D,3,3,False,True,1.4573011e-10,1.4573010781904251e-10,6765,97,A-D,3-3
S07,S07-B-1.bmp,S07-B-2.bmp,B,B,1,2,True,False,0.3210332,0.19120879209757274,454,630,B-B,1-2
S07,S07-B-1.bmp,S07-B-3.bmp,B,B,1,3,True,False,0.41324922,0.26043737648067855,454,814,B-B,1-3
S07,S07-B-1.bmp,S07-C-1.bmp,B,C,1,1,False,True,6.5146577e-10,6.514657976211949e-10,454,1081,B-C,1-1
S07,S07-B-1.bmp,S07-C-2.bmp,B,C,1,2,False,False,0.06619386,0.034229829323114996,454,1661,B-C,1-2
S07,S07-B-1.bmp,S07-C-3.bmp,B,C,1,3,False,False,0.05086207,0.026094648816411034,454,1866,B-C,1-3
S07,S07-B-1.bmp,S07-D-1.bmp,B,D,1,1,False,True,0.0031948898,0.0016000015974399974,454,172,B-D,1-1
S07,S07-B-1.bmp,S07-D-2.bmp,B,D,1,2,False,False,1.7006803e-09,1.70068026921653e-09,454,134,B-D,1-2
S07,S07-B-1.bmp,S07-D-3.bmp,B,D,1,3,False,False,1.814882e-09,1.8148820293740797e-09,454,97,B-D,1-3
S07,S07-B-2.bmp,S07-B-3.bmp,B,B,2,3,True,False,0.4362881,0.2790079722949442,630,814,B-B,2-3
S07,S07-B-2.bmp,S07-C-1.bmp,B,C,2,1,False,False,5.8445354e-10,5.844535356023065e-10,630,1081,B-C,1-2
S07,S07-B-2.bmp,S07-C-2.bmp,B,C,2,2,False,True,0.025316456,0.012820513256931693,630,1661,B-C,2-2
S07,S07-B-2.bmp,S07-C-3.bmp,B,C,2,3,False,False,0.048076924,0.024630542272319155,630,1866,B-C,2-3
S07,S07-B-2.bmp,S07-D-1.bmp,B,D,2,1,False,False,0.29426435,0.17251462109281487,630,172,B-D,1-2
S07,S07-B-2.bmp,S07-D-2.bmp,B,D,2,2,False,True,1.3089005e-09,1.3089005218469888e-09,630,134,B-D,2-2
S07,S07-B-2.bmp,S07-D-3.bmp,B,D,2,3,False,False,1.3755158e-09,1.3755158165398681e-09,630,97,B-D,2-3
S07,S07-B-3.bmp,S07-C-1.bmp,B,C,3,1,False,False,5.277045e-10,5.277044852096546e-10,814,1081,B-C,1-3
S07,S07-B-3.bmp,S07-C-2.bmp,B,C,3,2,False,False,0.10989899,0.05814450660190487,814,1661,B-C,2-3
S07,S07-B-3.bmp,S07-C-3.bmp,B,C,3,3,False,True,0.27835822,0.16168183824807897,814,1866,B-C,3-3
S07,S07-B-3.bmp,S07-D-1.bmp,B,D,3,1,False,False,0.3326572,0.19951338296896182,814,172,B-D,1-3
S07,S07-B-3.bmp,S07-D-2.bmp,B,D,3,2,False,False,1.0548523e-09,1.054852319562392e-09,814,134,B-D,2-3
S07,S07-B-3.bmp,S07-D-3.bmp,B,D,3,3,False,True,1.0976948e-09,1.0976948396293141e-09,814,97,B-D,3-3
S07,S07-C-1.bmp,S07-C-2.bmp,C,C,1,2,True,False,0.6630197,0.4959083472471858,1081,1661,C-C,1-2
S07,S07-C-1.bmp,S07-C-3.bmp,C,C,1,3,True,False,0.629793,0.4596334821893841,1081,1866,C-C,1-3
S07,S07-C-1.bmp,S07-D-1.bmp,C,D,1,1,False,True,7.980846e-10,7.980845963303394e-10,1081,172,C-D,1-1
S07,S07-C-1.bmp,S07-D-2.bmp,C,D,1,2,False,False,8.2304524e-10,8.230452668123083e-10,1081,134,C-D,1-2
S07,S07-C-1.bmp,S07-D-3.bmp,C,D,1,3,False,False,0.039049234,0.01991342076197972,1081,97,C-D,1-3
S07,S07-C-2.bmp,S07-C-3.bmp,C,C,2,3,True,False,0.69350725,0.5308159724258612,1661,1866,C-C,2-3
S07,S07-C-2.bmp,S07-D-1.bmp,C,D,2,1,False,False,5.455537e-10,5.455537367454698e-10,1661,172,C-D,1-2
S07,S07-C-2.bmp,S07-D-2.bmp,C,D,2,2,False,True,5.571031e-10,5.571030637564885e-10,1661,134,C-D,2-2
S07,S07-C-2.bmp,S07-D-3.bmp,C,D,2,3,False,False,0.08646189,0.04518430496719125,1661,97,C-D,2-3
S07,S07-C-3.bmp,S07-D-1.bmp,C,D,3,1,False,False,0.08537782,0.04459251714782546,1866,172,C-D,1-3
S07,S07-C-3.bmp,S07-D-2.bmp,C,D,3,2,False,False,5e-10,4.9999999975e-10,1866,134,C-D,2-3
S07,S07-C-3.bmp,S07-D-3.bmp,C,D,3,3,False,True,0.008150791,0.004092072120669016,1866,97,C-D,3-3
S07,S07-D-1.bmp,S07-D-2.bmp,D,D,1,2,True,False,3.267974e-09,3.2679738455294972e-09,172,134,D-D,1-2
S07,S07-D-1.bmp,S07-D-3.bmp,D,D,1,3,True,False,3.717472e-09,3.7174721051395087e-09,172,97,D-D,1-3
S07,S07-D-2.bmp,S07-D-3.bmp,D,D,2,3,True,False,4.3290043e-09,4.329004310264051e-09,134,97,D-D,2-3
S08,S08-A-1.bmp,S08-A-2.bmp,A,A,1,2,True,False,0.56790125,0.39655172934007127,87,75,A-A,1-2
S08,S08-A-1.bmp,S08-A-3.bmp,A,A,1,3,True,False,1.1494253e-08,1.149425274144537e-08,87,0,A-A,1-3
S08,S08-A-1.bmp,S08-B-1.bmp,A,B,1,1,False,True,0.17975207,0.09875141986520837,87,881,A-B,1-1
S08,S08-A-1.bmp,S08-B-2.bmp,A,B,1,2,False,False,0.2242268,0.12626995772674898,87,689,A-B,1-2
S08,S08-A-1.bmp,S08-B-3.bmp,A,B,1,3,False,False,0.1743487,0.09549945214544517,87,911,A-B,1-3
S08,S08-A-1.bmp,S08-C-1.bmp,A,C,1,1,False,True,2.6666667e-09,2.6666666595555553e-09,87,288,A-C,1-1
S08,S08-A-1.bmp,S08-C-2.bmp,A,C,1,2,False,False,1.610306e-09,1.6103059555389597e-09,87,534,A-C,1-2
S08,S08-A-1.bmp,S08-C-3.bmp,A,C,1,3,False,False,1.6722408e-09,1.672240799879196e-09,87,511,A-C,1-3
S08,S08-A-1.bmp,S08-D-1.bmp,A,D,1,1,False,True,6.9444446e-09,6.944444396219136e-09,87,57,A-D,1-1
S08,S08-A-1.bmp,S08-D-2.bmp,A,D,1,2,False,False,1.8181818e-09,1.818181814876033e-09,87,463,A-D,1-2
S08,S08-A-1.bmp,S08-D-3.bmp,A,D,1,3,False,False,2.4752476e-09,2.4752475186256248e-09,87,317,A-D,1-3
S08,S08-A-2.bmp,S08-A-3.bmp,A,A,2,3,True,False,1.33333335e-08,1.3333333155555557e-08,75,0,A-A,2-3
S08,S08-A-2.bmp,S08-B-1.bmp,A,B,2,1,False,False,0.15690376,0.08513053452312085,75,881,A-B,1-2
S08,S08-A-2.bmp,S08-B-2.bmp,A,B,2,2,False,True,0.19633508,0.10885341203359446,75,689,A-B,2-2
S08,S08-A-2.bmp,S08-B-3.bmp,A,B,2,3,False,False,0.15212981,0.08232711406989339,75,911,A-B,2-3
S08,S08-A-2.bmp,S08-C-1.bmp,A,C,2,1,False,False,2.754821e-09,2.75482092905008e-09,75,288,A-C,1-2
S08,S08-A-2.bmp,S08-C-2.bmp,A,C,2,2,False,True,1.6420362e-09,1.6420361220984628e-09,75,534,A-C,2-2
S08,S08-A-2.bmp,S08-C-3.bmp,A,C,2,3,False,False,1.7064846e-09,1.7064846387261353e-09,75,511,A-C,2-3
S08,S08-A-2.bmp,S08-D-1.bmp,A,D,2,1,False,False,7.575758e-09,7.575757518365473e-09,75,57,A-D,1-2
S08,S08-A-2.bmp,S08-D-2.bmp,A,D,2,2,False,True,1.858736e-09,1.858736056024654e-09,75,463,A-D,2-2
S08,S08-A-2.bmp,S08-D-3.bmp,A,D,2,3,False,False,2.5510205e-09,2.55102040165556e-09,75,317,A-D,2-3
S08,S08-A-3.bmp,S08-B-1.bmp,A,B,3,1,False,False,1.1350738e-09,1.1350737785072942e-09,0,881,A-B,1-3
S08,S08-A-3.bmp,S08-B-2.bmp,A,B,3,2,False,False,1.4513788e-09,1.4513788077628754e-09,0,689,A-B,2-3
S08,S08-A-3.bmp,S08-B-3.bmp,A,B,3,3,False,True,1.0976948e-09,1.0976948396293141e-09,0,911,A-B,3-3
S08,S08-A-3.bmp,S08-C-1.bmp,A,C,3,1,False,False,3.4722223e-09,3.472222210165895e-09,0,288,A-C,1-3
S08,S08-A-3.bmp,S08-C-2.bmp,A,C,3,2,False,False,1.8726591e-09,1.87265917252311e-09,0,534,A-C,2-3
S08,S08-A-3.bmp,S08-C-3.bmp,A,C,3,3,False,True,1.956947e-09,1.9569471585969723e-09,0,511,A-C,3-3
S08,S08-A-3.bmp,S08-D-1.bmp,A,D,3,1,False,False,1.754386e-08,1.75438593413358e-08,0,57,A-D,1-3
S08,S08-A-3.bmp,S08-D-2.bmp,A,D,3,2,False,False,2.1598272e-09,2.1598272091580403e-09,0,463,A-D,2-3
S08,S08-A-3.bmp,S08-D-3.bmp,A,D,3,3,False,True,3.1545742e-09,3.1545741225407754e-09,0,317,A-D,3-3
S08,S08-B-1.bmp,S08-B-2.bmp,B,B,1,2,True,False,0.86624205,0.7640449440853427,881,689,B-B,1-2
S08,S08-B-1.bmp,S08-B-3.bmp,B,B,1,3,True,False,0.69866073,0.5368782165206876,881,911,B-B,1-3
S08,S08-B-1.bmp,S08-C-1.bmp,B,C,1,1,False,True,0.1334474,0.0714940430142126,881,288,B-C,1-1
S08,S08-B-1.bmp,S08-C-2.bmp,B,C,1,2,False,False,0.204947,0.11417322904395807,881,534,B-C,1-2
S08,S08-B-1.bmp,S08-C-3.bmp,B,C,1,3,False,False,0.1724138,0.09433962335350657,881,511,B-C,1-3
S08,S08-B-1.bmp,S08-D-1.bmp,B,D,1,1,False,True,1.0660981e-09,1.066098079886889e-09,881,57,B-D,1-1
S08,S08-B-1.bmp,S08-D-2.bmp,B,D,1,2,False,False,0.21875,0.12280701827668586,881,463,B-D,1-2
S08,S08-B-1.bmp,S08-D-3.bmp,B,D,1,3,False,False,0.025041739,0.012679628898833785,881,317,B-D,1-3
S08,S08-B-2.bmp,S08-B-3.bmp,B,B,2,3,True,False,0.705,0.5444015448413112,689,911,B-B,2-3
S08,S08-B-2.bmp,S08-C-1.bmp,B,C,2,1,False,False,0.15762538,0.08555555657160493,689,288,B-C,1-2
S08,S08-B-2.bmp,S08-C-2.bmp,B,C,2,2,False,True,0.14063777,0.07563764373294841,689,534,B-C,2-2
S08,S08-B-2.bmp,S08-C-3.bmp,B,C,2,3,False,False,0.12166667,0.06477373641102596,689,511,B-C,2-3
S08,S08-B-2.bmp,S08-D-1.bmp,B,D,2,1,False,False,1.3404826e-09,1.340482571929648e-09,689,57,B-D,1-2
S08,S08-B-2.bmp,S08-D-2.bmp,B,D,2,2,False,True,0.1579861,0.08576814412274443,689,463,B-D,2-2
S08,S08-B-2.bmp,S08-D-3.bmp,B,D,2,3,False,False,0.03777336,0.01925025428647391,689,317,B-D,2-3
S08,S08-B-3.bmp,S08-C-1.bmp,B,C,3,1,False,False,0.41701418,0.2634351957181926,911,288,B-C,1-3
S08,S08-B-3.bmp,S08-C-2.bmp,B,C,3,2,False,False,0.24913494,0.14229249079660672,911,534,B-C,2-3
S08,S08-B-3.bmp,S08-C-3.bmp,B,C,3,3,False,True,0.29957807,0.176178660731035,911,511,B-C,3-3
S08,S08-B-3.bmp,S08-D-1.bmp,B,D,3,1,False,False,1.0330579e-09,1.0330578501724608e-09,911,57,B-D,1-3
S08,S08-B-3.bmp,S08-D-2.bmp,B,D,3,2,False,False,0.3173217,0.18858131558081198,911,463,B-D,2-3
S08,S08-B-3.bmp,S08-D-3.bmp,B,D,3,3,False,True,0.10586319,0.05588994062262257,911,317,B-D,3-3
S08,S08-C-1.bmp,S08-C-2.bmp,C,C,1,2,True,False,0.23600973,0.133793104643044,288,534,C-C,1-2
S08,S08-C-1.bmp,S08-C-3.bmp,C,C,1,3,True,False,0.37797245,0.23302469254162855,288,511,C-C,1-3
S08,S08-C-1.bmp,S08-D-1.bmp,C,D,1,1,False,True,2.8985507e-09,2.8985507162360846e-09,288,57,C-D,1-1
S08,S08-C-1.bmp,S08-D-2.bmp,C,D,1,2,False,False,0.050599203,0.02595628548366628,288,463,C-D,1-2
S08,S08-C-1.bmp,S08-D-3.bmp,C,D,1,3,False,False,0.21157025,0.11829944710111008,288,317,C-D,1-3
S08,S08-C-2.bmp,S08-C-3.bmp,C,C,2,3,True,False,0.82488036,0.701954397879553,534,511,C-C,2-3
S08,S08-C-2.bmp,S08-D-1.bmp,C,D,2,1,False,False,1.6920474e-09,1.6920473744635407e-09,534,57,C-D,1-2
