image_path,image_name,subject_id,image_hash,duplicate_group_size,is_duplicate_image_content
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-B-2.bmp,S09-B-2.bmp,S09,02dbaeaf1fa9530a6aff4c66ad2014ea,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-B-3.bmp,S09-B-3.bmp,S09,cd4b32bacdc5468c1c2ee116ad2d265d,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-C-1.bmp,S09-C-1.bmp,S09,6fa5c851345051b8c85900f06e437da5,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-C-2.bmp,S09-C-2.bmp,S09,0f72a1e70831d2268167cbf9c4ae15cd,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-C-3.bmp,S09-C-3.bmp,S09,3a58c043643780a71fc0e66c99f7c995,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-D-1.bmp,S09-D-1.bmp,S09,83c92e3838f96eda21f7ba7e9a62c7c6,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-D-2.bmp,S09-D-2.bmp,S09,16c2326d04f5860834e2e7f84deb177d,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-D-3.bmp,S09-D-3.bmp,S09,2efe4de80af5d7437c2247e9ef15d5e3,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-A-1.bmp,S10-A-1.bmp,S10,098720c468fcb2df9fe7ab9a649cc021,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-A-2.bmp,S10-A-2.bmp,S10,40fe1b98482ad1767ea627c9dbfb7aa0,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-A-3.bmp,S10-A-3.bmp,S10,7272d7aad8ff317a764c049d34b1694d,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-B-1.bmp,S10-B-1.bmp,S10,2b037d07e50faf893e7d7f81e8590ea3,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-B-2.bmp,S10-B-2.bmp,S10,f740af5b3c62f6336901018b7cf09675,1,False
